# d267b7acbd7ca1021691f4feea94f726d4a4097ff244dad4bdc4108a8a9ef8ab#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.6822,"mnu":0.06,"ns":0.974,"ombh2":0.0226,"omch2":0.118,"omnuh2":0.000644883920894239,"sigma_8":0.813},"data_sha256":"242eee73b146c45f665533bf889c570793cb6a224cb2303465a9fdb5cb823b41","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
5.030701652556693847e-04 9.331207611695626838e+03
5.074785831212874848e-04 9.409095411919341132e+03
5.119256320754099043e-04 9.487608149969386432e+03
5.164116506433410027e-04 9.566750340305039572e+03
5.209369803168915208e-04 9.646526465282717254e+03
5.255019655803744956e-04 9.726941020991967889e+03
5.301069539368288581e-04 9.807998526915567709e+03
5.347522959344721237e-04 9.889703525933344281e+03
5.394383451933857515e-04 9.972060584302640564e+03
5.441654584324333906e-04 1.005507429089695688e+04
5.489339954964164584e-04 1.013874925697366234e+04
5.537443193834663997e-04 1.022309011706059937e+04
5.585967962726775312e-04 1.030810152900927642e+04
5.634917955519807946e-04 1.039378817398574029e+04
5.684296898462648170e-04 1.048015475628129025e+04
5.734108550457404831e-04 1.056720600165183532e+04
5.784356703345549817e-04 1.065494665799126960e+04
5.835045182196558697e-04 1.074338149633177818e+04
5.886177845599110080e-04 1.083251531083438567e+04
5.937758585954794896e-04 1.092235291876412157e+04
5.989791329774431022e-04 1.101289915414029565e+04
6.042280037976960469e-04 1.110415884790203927e+04
6.095228706190960587e-04 1.119613684629063391e+04
6.148641365058823494e-04 1.128883801721483178e+04
6.202522080543566851e-04 1.138226725018796242e+04
6.256874954238358412e-04 1.147642945617695295e+04
6.311704123678738053e-04 1.157132956003653817e+04
6.367013762657586099e-04 1.166697249426258531e+04
6.422808081542845512e-04 1.176336321057986243e+04
6.479091327598034827e-04 1.186050668119672810e+04
6.535867785305558321e-04 1.195840789870932531e+04
6.593141776692854625e-04 1.205707187387330850e+04
6.650917661661414140e-04 1.215650360196654219e+04
6.709199838318663078e-04 1.225670806757891296e+04
6.767992743312772680e-04 1.235769027214683410e+04
6.827300852170369765e-04 1.245945523465393126e+04
6.887128679637262441e-04 1.256200799147099133e+04
6.947480780022094243e-04 1.266535359099150810e+04
7.008361747543038383e-04 1.276949706688865626e+04
7.069776216677544018e-04 1.287444345662529304e+04
7.131728862515094441e-04 1.298019781272342334e+04
7.194224401113128971e-04 1.308676520257191441e+04
7.257267589856023372e-04 1.319415070828138778e+04
7.320863227817250244e-04 1.330235945615331184e+04
7.385016156124683600e-04 1.341139666374365333e+04
7.449731258329149539e-04 1.352126757804320187e+04
7.515013460776157972e-04 1.363197746372710026e+04
7.580867732980932491e-04 1.374353160298932926e+04
7.647299088006679832e-04 1.385593529096994644e+04
7.714312582846230126e-04 1.396919370553485714e+04
7.781913318806986130e-04 1.408331188065335118e+04
7.850106441899237829e-04 1.419829484861674609e+04
7.918897143227919370e-04 1.431414764814717455e+04
7.988290659387749801e-04 1.443087532401606768e+04
8.058292272861881196e-04 1.454848293514158468e+04
8.128907312424010810e-04 1.466697562430929793e+04
8.200141153544032073e-04 1.478635858436827766e+04
8.271999218797217905e-04 1.490663701729479544e+04
8.344486978277033951e-04 1.502781613346238009e+04
8.417609950011519914e-04 1.514990115129993319e+04
8.491373700383351769e-04 1.527289727508820579e+04
8.565783844553571816e-04 1.539680963398363201e+04
8.640846046889027804e-04 1.552164334164758839e+04
