# 17d18ac21b0778456cc7e84f03bb8c5e9be547793a08b3a0c15e2fa3bd5adb0e#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.6732,"mnu":0.06,"ns":0.96605,"ombh2":0.022383,"omch2":0.12009212027110579,"omnuh2":0.000644883920894239,"sigma_8":0.812},"data_sha256":"a1adf78a402c5980b250a8906c0f293637de20f272fa9463492015cc9b55df24","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
2.094458612878820607e-03 3.387190789411165315e+04
2.112812412021570878e-03 3.411103482004404941e+04
2.131327046017252643e-03 3.435133740366601705e+04
2.150003924266158991e-03 3.459281251950855221e+04
2.168844468519199199e-03 3.483545687871504924e+04
2.187850112986125528e-03 3.507926700936489215e+04
2.207022304444708916e-03 3.532423901817750448e+04
2.226362502350873532e-03 3.557036864634136873e+04
2.245872178949798008e-03 3.581765144704865088e+04
2.265552819387986819e-03 3.606608278790921759e+04
2.285405921826323076e-03 3.631565784901848383e+04
2.305432997554115754e-03 3.656637163266575226e+04
2.325635571104145254e-03 3.681821901263536711e+04
2.346015180368713361e-03 3.707119469241699699e+04
2.366573376716716703e-03 3.732529318299565057e+04
2.387311725111741084e-03 3.758050880098142807e+04
2.408231804231188416e-03 3.783683566627507389e+04
2.429335206586457924e-03 3.809426758787591098e+04
2.450623538644169496e-03 3.835279791375568311e+04
2.472098420948456478e-03 3.861241974421052146e+04
2.493761488244321430e-03 3.887312596487596602e+04
2.515614389602086054e-03 3.913490924483020353e+04
2.537658788542920558e-03 3.939776203355781035e+04
2.559896363165478032e-03 3.966167653114126733e+04
2.582328806273636885e-03 3.992664468410547852e+04
2.604957825505360008e-03 4.019265821191948635e+04
2.627785143462693651e-03 4.045970860658580204e+04
2.650812497842890397e-03 4.072778713083606272e+04
2.674041641570695706e-03 4.099688478942077927e+04
2.697474342931779814e-03 4.126699213427199720e+04
2.721112385707349663e-03 4.153809936936727900e+04
2.744957569309939595e-03 4.181019645237777877e+04
2.769011708920385544e-03 4.208327309358778439e+04
2.793276635626000537e-03 4.235731875414683600e+04
2.817754196559968394e-03 4.263232263761590730e+04
2.842446255041954344e-03 4.290827367225083435e+04
2.867354690719942957e-03 4.318516052663327719e+04
2.892481399713329841e-03 4.346297161264693568e+04
2.917828294757251507e-03 4.374169508387954556e+04
2.943397305348202826e-03 4.402131883104952431e+04
2.969190377890906091e-03 4.430183032258437743e+04
2.995209475846484157e-03 4.458321652032600832e+04
3.021456579881921182e-03 4.486546409205142845e+04
3.047933688020845223e-03 4.514855942894199688e+04
3.074642815795618385e-03 4.543248864412527473e+04
3.101585996400771372e-03 4.571723756209686690e+04
3.128765280847774655e-03 4.600279160804983258e+04
3.156182738121164448e-03 4.628913583942006517e+04
3.183840455336052998e-03 4.657625502327981667e+04
3.211740537896997164e-03 4.686413363668899547e+04
3.239885109658273855e-03 4.715275586547332205e+04
3.268276313085550621e-03 4.744210547988766484e+04
3.296916309418985221e-03 4.773216534033617063e+04
3.325807278837741160e-03 4.802291780410046340e+04
3.354951420625955621e-03 4.831434491010074271e+04
3.384350953340147655e-03 4.860642837786726886e+04
3.414008114978114329e-03 4.889914960984465870e+04
3.443925163149288808e-03 4.919249025347286079e+04
3.474104375246597244e-03 4.948643285456722515e+04
