# ff065fa778254cca54b85bb3a68aab7b5381e1714f11192a638a154f53590803#
# baonoise-meta {"cosmology":{"N_eff":3.046,"h":0.67,"mnu":0.0,"ns":0.962,"ombh2":0.021996100000000005,"omch2":0.11985630000000001,"omnuh2":0.0,"sigma_8":0.834},"data_sha256":"89d27adde730cb67050cb1a692ee37c19091b68532d0d0770a87800023f45b4a","format":"baonoise-pk-v2","generator":{"package":"camb","version":"2.0.2"},"settings":{"As":2.1e-09,"accurate_massive_neutrino_transfers":false,"kmax_h_mpc":20.0,"minkh_h_mpc":0.0001,"neutrino_input":"omnuh2_active","nonlinear":false,"npoints":1400,"redshift":0.0,"tau":0.06}}
1.028207574524153027e-03 1.945450135318257526e+04
1.037217786129113846e-03 1.960780010609062811e+04
1.046306954469248965e-03 1.976217708321781538e+04
1.055475771444627960e-03 1.991763731403771453e+04
1.064724935018458024e-03 2.007418581256565813e+04
1.074055149270219207e-03 2.023182757664982273e+04
1.083467124449259125e-03 2.039056758709239512e+04
1.092961577028860173e-03 2.055041077791091084e+04
1.102539229760780099e-03 2.071136199935589320e+04
1.112200811730269410e-03 2.087342607095221683e+04
1.121947058411574280e-03 2.103660778903629398e+04
1.131778711723922153e-03 2.120091192592489460e+04
1.141696520087998696e-03 2.136634322973997769e+04
1.151701238482920895e-03 2.153290643895701214e+04
1.161793628503708870e-03 2.170060628249995352e+04
1.171974458419261424e-03 2.186944746364261664e+04
1.182244503230839641e-03 2.203943465842228397e+04
1.192604544731060492e-03 2.221057251476922465e+04
1.203055371563412383e-03 2.238286563437446239e+04
1.213597779282288942e-03 2.255631845086039903e+04
1.224232570413548871e-03 2.273093529628759279e+04
1.234960554515607484e-03 2.290672046370515091e+04
1.245782548241061889e-03 2.308367820651149304e+04
1.256699375398860011e-03 2.326181273741496625e+04
1.267711867017009978e-03 2.344112823410894634e+04
1.278820861405842229e-03 2.362162885401213134e+04
1.290027204221821759e-03 2.380331871618878358e+04
1.301331748531927169e-03 2.398620189580122315e+04
1.312735354878585706e-03 2.417028242303636216e+04
1.324238891345181626e-03 2.435556428085079096e+04
1.335843233622139832e-03 2.454205134266691311e+04
1.347549265073581760e-03 2.472974733895155077e+04
1.359357876804574749e-03 2.491865593847458513e+04
1.371269967728965802e-03 2.510878075440058456e+04
1.383286444637808190e-03 2.530012534307574242e+04
1.395408222268388482e-03 2.549269320251377576e+04
1.407636223373864414e-03 2.568648776764628565e+04
1.419971378793504066e-03 2.588151241009923615e+04
1.432414627523546490e-03 2.607777043946913545e+04
1.444966916788679263e-03 2.627526510211015921e+04
1.457629202114148767e-03 2.647399957986100708e+04
1.470402447398493464e-03 2.667397694797213990e+04
1.483287624986923126e-03 2.687520000700358651e+04
1.496285715745336023e-03 2.707767141652393911e+04
1.509397709134982718e-03 2.728139375682748141e+04
1.522624603287792968e-03 2.748636952748896510e+04
1.535967405082354223e-03 2.769260114601269743e+04
1.549427130220558434e-03 2.790009096965462959e+04
1.563004803304921062e-03 2.810884132228785893e+04
1.576701457916578151e-03 2.831885445007297676e+04
1.590518136693966876e-03 2.853013251345289609e+04
1.604455891412193266e-03 2.874267758566863995e+04
1.618515783063099013e-03 2.895649165070148592e+04
1.632698881936024780e-03 2.917157658908716985e+04
1.647006267699287771e-03 2.938793417581913309e+04
1.661439029482369035e-03 2.960556609125623072e+04
1.675998265958822181e-03 2.982447392016167942e+04
1.690685085429904835e-03 3.004465915015817518e+04
1.705500605908952120e-03 3.026612312825689514e+04
1.720445955206480887e-03 3.048886677105001581e+04
1.735522271016042483e-03 3.071289072696009316e+04
